Imagen,Filtro aplicado,Tipo,Entropía,Contraste RMS,SSIM
GEOESPACIAL.png,gaussiano,espacial,6.950950143601708,31.399967049717308,0.7617340595102077
GEOESPACIAL.png,gaussiano + erosion,espacial + morfologico,6.985534762121102,31.51165269365739,0.6028521846495875
GEOESPACIAL.png,gaussiano + dilatacion,espacial + morfologico,6.723843004491811,27.998224775298524,0.6011969438610535
GEOESPACIAL.png,gaussiano + apertura,espacial + morfologico,6.871649352843634,29.819848454177656,0.8297916855009309
GEOESPACIAL.png,gaussiano + clausura,espacial + morfologico,6.776438370215975,28.967686365506744,0.8061775785731146
GEOESPACIAL.png,gaussiano + top_hat,espacial + morfologico,3.821132144936995,9.594802459862258,0.06166542518546182
GEOESPACIAL.png,laplaciano,espacial,5.526452865755201,12.39687045778966,-0.301547281205361
GEOESPACIAL.png,laplaciano + erosion,espacial + morfologico,6.726416188381895,29.11526029299446,0.20702880979616436
GEOESPACIAL.png,laplaciano + dilatacion,espacial + morfologico,6.592188651724996,25.075927132559244,0.1019941536811352
GEOESPACIAL.png,laplaciano + apertura,espacial + morfologico,6.052549227816627,18.932245801990494,0.41946286530994037
GEOESPACIAL.png,laplaciano + clausura,espacial + morfologico,5.991030527874326,17.432863188020853,0.16801651855175065
GEOESPACIAL.png,laplaciano + top_hat,espacial + morfologico,5.551333856623454,18.74360196853786,0.2586457900582088
GEOESPACIAL.png,sobel,espacial,5.84476663303585,16.4327292551217,0.16929259559813611
GEOESPACIAL.png,sobel + erosion,espacial + morfologico,6.641958815975381,30.12950735177619,0.36358341866732724
GEOESPACIAL.png,sobel + dilatacion,espacial + morfologico,6.647582990028848,30.178233627990494,0.31213516611550435
GEOESPACIAL.png,sobel + apertura,espacial + morfologico,5.840274505245982,18.228295666881706,0.6195566621020699
GEOESPACIAL.png,sobel + clausura,espacial + morfologico,5.850342251026698,18.332683683917644,0.4853375437728573
GEOESPACIAL.png,sobel + top_hat,espacial + morfologico,4.895543516433053,17.893272814157335,0.18074934379303995
ESPACIAL.png,original,espacial,6.57567611207802,23.911265382785775,1.0
ESPACIAL.png,original + erosion,espacial + morfologico,6.391266626845907,20.561414441671815,0.4574759849734263
ESPACIAL.png,original + dilatacion,espacial + morfologico,6.589570880874035,25.40422361580813,0.47869191391323196
ESPACIAL.png,original + apertura,espacial + morfologico,6.389641000733866,20.907559154891675,0.6016640279520078
ESPACIAL.png,original + clausura,espacial + morfologico,6.329461517123338,20.443035448372893,0.6577818412212404
ESPACIAL.png,original + top_hat,espacial + morfologico,4.842882702406508,10.986061271410307,0.17867263977978354
ESPACIAL.png,gaussiano,espacial,6.423707946220868,21.539573451816665,0.8210134246452727
ESPACIAL.png,gaussiano + erosion,espacial + morfologico,6.248993541328596,18.642093073323107,0.7242377275462532
ESPACIAL.png,gaussiano + dilatacion,espacial + morfologico,6.537867166556969,24.092264251007474,0.721128956220131
ESPACIAL.png,gaussiano + apertura,espacial + morfologico,6.308119243229368,19.716042986467073,0.8370923721783387
ESPACIAL.png,gaussiano + clausura,espacial + morfologico,6.344963706932525,20.477178111851213,0.8803433074745036
ESPACIAL.png,gaussiano + top_hat,espacial + morfologico,3.6062056874490898,6.020728427365516,0.06811337454567158
ESPACIAL.png,laplaciano,espacial,5.313716964893549,10.022985014104538,-0.33590951090785437
ESPACIAL.png,laplaciano + erosion,espacial + morfologico,5.829749203374303,15.682721704356139,0.20515676691867293
ESPACIAL.png,laplaciano + dilatacion,espacial + morfologico,5.9397671096004565,16.642698933767573,0.11445702558885987
ESPACIAL.png,laplaciano + apertura,espacial + morfologico,5.073030093674373,9.265394088113569,0.4435237103479722
ESPACIAL.png,laplaciano + clausura,espacial + morfologico,5.182884980579182,9.846819193518366,0.18172877703720927
ESPACIAL.png,laplaciano + top_hat,espacial + morfologico,5.466863458624605,15.442588249752907,0.24921338842759583
ESPACIAL.png,sobel,espacial,5.897580044172161,14.906104901178914,0.17459166938674922
ESPACIAL.png,sobel + erosion,espacial + morfologico,6.0955253594909955,19.186049495544964,0.38824005276496365
ESPACIAL.png,sobel + dilatacion,espacial + morfologico,6.29581530076819,22.304930404753414,0.35156739467763665
ESPACIAL.png,sobel + apertura,espacial + morfologico,5.582044944264833,12.97771792473851,0.6135306036679157
ESPACIAL.png,sobel + clausura,espacial + morfologico,5.762807555925308,14.814178308631114,0.5260437907146864
ESPACIAL.png,sobel + top_hat,espacial + morfologico,5.547738436480051,21.96162891973199,0.25559669715331257
INSECTO.png,original,espacial,7.492553866667094,49.290488798169974,1.0
INSECTO.png,original + erosion,espacial + morfologico,7.536640722660925,51.852973336355,0.790181914276645
INSECTO.png,original + dilatacion,espacial + morfologico,7.437925702551762,46.60169748138081,0.7916546447130741
INSECTO.png,original + apertura,espacial + morfologico,7.475016345779473,49.0432647159216,0.9312365406517636
INSECTO.png,original + clausura,espacial + morfologico,7.457131180868438,47.98850142626992,0.9416524169668137
INSECTO.png,original + top_hat,espacial + morfologico,2.114286738074224,11.729426334637802,0.05465689870265298
INSECTO.png,gaussiano,espacial,7.463618346466224,48.119947513536474,0.9813495024312167
INSECTO.png,gaussiano + erosion,espacial + morfologico,7.513719683942143,50.427156487694376,0.8374959523701512
INSECTO.png,gaussiano + dilatacion,espacial + morfologico,7.407271736070814,45.641965365296784,0.8387146989183384
INSECTO.png,gaussiano + apertura,espacial + morfologico,7.449781142267963,47.85733889924402,0.9524824335738172
INSECTO.png,gaussiano + clausura,espacial + morfologico,7.4353464989089995,47.1821819511625,0.9593344565211133
INSECTO.png,gaussiano + top_hat,espacial + morfologico,1.6150052095504375,8.133557685269286,0.03659606133174532
INSECTO.png,laplaciano,espacial,3.448618541810462,6.86055460369311,0.525472346445321
INSECTO.png,laplaciano + erosion,espacial + morfologico,4.474113209799613,25.445599270441786,0.5795368907971019
INSECTO.png,laplaciano + dilatacion,espacial + morfologico,4.485720742858052,22.49352911093853,0.07913083243461042
INSECTO.png,laplaciano + apertura,espacial + morfologico,3.7190991201958994,13.007110688948568,0.6902826225124976
INSECTO.png,laplaciano + clausura,espacial + morfologico,3.753556803461894,11.657123067473371,0.07986893177113848
INSECTO.png,laplaciano + top_hat,espacial + morfologico,3.248183858211441,9.322125646180007,0.06373529855335988
INSECTO.png,sobel,espacial,3.7063745121929226,9.728619934717171,0.6361720303309472
INSECTO.png,sobel + erosion,espacial + morfologico,4.419222569777676,20.40992583217181,0.7704525043441734
INSECTO.png,sobel + dilatacion,espacial + morfologico,4.5614983600701065,23.88076657451646,0.4966813645788003
INSECTO.png,sobel + apertura,espacial + morfologico,3.9075875271372364,11.40877567143195,0.8393719693767158
INSECTO.png,sobel + clausura,espacial + morfologico,4.0680202935387655,13.219887825143676,0.5301882758728235
INSECTO.png,sobel + top_hat,espacial + morfologico,1.8773498027899584,12.356049514918526,0.0431559499373907
